Pressure (bar),Flow (L/min),Flow (mL/s)
4.9041,2.1122,3.5204
4.9041,2.1122,3.5204
4.912,2.1122,3.5204
4.912,2.1122,3.5204
4.9021,2.1122,3.5204
4.9277,2.1122,3.5204
4.908,2.1122,3.5204
4.91,2.1122,3.5204
4.908,2.1122,3.5204
4.9218,2.1122,3.5204
4.9218,2.1122,3.5204
4.9258,2.1122,3.5204
4.9297,2.1122,3.5204
4.9337,2.1122,3.5204
4.9356,2.1122,3.5204
4.9396,2.1122,3.5204
4.9534,2.1122,3.5204
4.9337,2.1122,3.5204
4.9593,2.1122,3.5204
4.9356,2.1122,3.5204
4.9593,2.1122,3.5204
4.9534,2.1122,3.5204
4.9652,2.1122,3.5204
4.9652,2.1122,3.5204
4.9672,2.1122,3.5204
4.9652,2.1122,3.5204
4.9652,2.1122,3.5204
4.9751,2.1122,3.5204
4.9672,2.1122,3.5204
4.9869,2.1122,3.5204
5.0087,2.1122,3.5204
5.0363,2.1122,3.5204
5.056,2.1122,3.5204
5.0659,2.1122,3.5204
5.0935,2.1122,3.5204
5.1113,2.1122,3.5204
5.1369,2.1122,3.5204
5.1547,2.3762,3.9604
5.1586,2.3762,3.9604
5.1764,2.3762,3.9604
5.1843,2.3762,3.9604
5.1922,2.3762,3.9604
5.204,2.3762,3.9604
5.2179,2.3762,3.9604
5.2218,2.3762,3.9604
5.2415,2.3762,3.9604
5.2475,2.3762,3.9604
5.2475,2.3762,3.9604
5.2573,2.3762,3.9604
5.2553,2.3762,3.9604
5.2692,2.3762,3.9604
5.2692,2.3762,3.9604
5.2692,2.3762,3.9604
5.2771,2.3762,3.9604
5.285,2.3762,3.9604
5.2909,2.3762,3.9604
5.3007,2.3762,3.9604
5.3007,2.3762,3.9604
5.2889,2.3762,3.9604
5.3106,2.3762,3.9604
5.3106,2.3762,3.9604
5.3126,2.3762,3.9604
5.3126,2.3762,3.9604
5.3244,2.3762,3.9604
5.3146,2.3762,3.9604
5.3264,2.3762,3.9604
5.3165,2.3762,3.9604
5.3205,2.3762,3.9604
5.3323,2.3762,3.9604
5.3106,2.3762,3.9604
5.3165,2.3762,3.9604
5.3284,2.3762,3.9604
5.3303,2.3762,3.9604
5.3224,2.3762,3.9604
5.3323,2.3762,3.9604
5.3185,2.3762,3.9604
5.3303,2.3762,3.9604
5.3343,2.3762,3.9604
5.3363,2.3762,3.9604
5.3264,2.3762,3.9604
5.3343,2.3762,3.9604
5.3264,2.3762,3.9604
5.3323,2.3762,3.9604
5.3402,2.3762,3.9604
5.3244,2.3762,3.9604
5.3422,2.3762,3.9604
5.3165,2.3762,3.9604
5.3422,2.3762,3.9604
5.3264,2.3762,3.9604
5.3422,2.3762,3.9604
5.3363,2.3762,3.9604
5.3343,2.3762,3.9604
5.3422,2.3762,3.9604
5.3422,2.3762,3.9604
5.3402,2.3762,3.9604
5.3224,2.3762,3.9604
5.2988,2.3762,3.9604
5.3126,2.3762,3.9604
5.3501,2.3762,3.9604
5.3303,2.3762,3.9604
5.3442,2.3762,3.9604
5.3165,2.3762,3.9604
5.2475,2.3762,3.9604
5.3264,2.3762,3.9604
5.3244,2.3762,3.9604
5.3303,2.3762,3.9604
5.3343,2.3762,3.9604
5.3402,2.3762,3.9604
5.3442,2.3762,3.9604
5.3777,2.3762,3.9604
5.3718,2.3762,3.9604
5.3126,2.3762,3.9604
5.3343,2.3762,3.9604
5.358,2.3762,3.9604
5.3402,2.3762,3.9604
5.3205,2.3762,3.9604
5.3224,2.3762,3.9604
5.3442,2.3762,3.9604
5.3244,2.3762,3.9604
5.3303,2.3762,3.9604
5.3323,2.3762,3.9604
5.3303,2.3762,3.9604
5.3264,2.3762,3.9604
5.3382,2.3762,3.9604
5.3323,2.3762,3.9604
5.3422,2.3762,3.9604
5.3244,2.3762,3.9604
5.3402,2.3762,3.9604
5.3442,2.3762,3.9604
5.3323,2.3762,3.9604
5.3382,2.3762,3.9604
5.3382,2.3762,3.9604
5.3402,2.3762,3.9604
5.3303,2.3762,3.9604
5.3382,2.3762,3.9604
5.3343,2.3762,3.9604
5.3422,2.3762,3.9604
5.3363,2.3762,3.9604
5.3442,2.6403,4.4004
5.3343,2.6403,4.4004
5.3382,2.6403,4.4004
5.3284,2.6403,4.4004
5.3323,2.6403,4.4004
5.3442,2.6403,4.4004
5.3442,2.6403,4.4004
5.3343,2.6403,4.4004
5.3402,2.6403,4.4004
5.3382,2.6403,4.4004
5.3481,2.6403,4.4004
5.3422,2.6403,4.4004
5.3442,2.6403,4.4004
5.3224,2.6403,4.4004
5.3422,2.6403,4.4004
5.3343,2.6403,4.4004
5.3422,2.6403,4.4004
5.3224,2.6403,4.4004
5.3343,2.6403,4.4004
5.3343,2.6403,4.4004
5.3343,2.6403,4.4004
5.3244,2.6403,4.4004
5.3264,2.6403,4.4004
5.3442,2.6403,4.4004
5.3343,2.6403,4.4004
5.3382,2.6403,4.4004
5.3185,2.6403,4.4004
5.3442,2.6403,4.4004
5.3422,2.6403,4.4004
5.3343,2.6403,4.4004
5.3442,2.6403,4.4004
5.3264,2.6403,4.4004
5.3224,2.6403,4.4004
5.3224,2.6403,4.4004
5.3382,2.6403,4.4004
5.3185,2.6403,4.4004
5.3185,2.6403,4.4004
5.3264,2.6403,4.4004
5.3264,2.6403,4.4004
5.3244,2.6403,4.4004
5.3382,2.6403,4.4004
5.3343,2.6403,4.4004
5.3442,2.6403,4.4004
5.3442,2.6403,4.4004
5.3323,2.6403,4.4004
5.3382,2.6403,4.4004
5.3363,2.6403,4.4004
5.3224,2.6403,4.4004
5.3264,2.6403,4.4004
5.3343,2.6403,4.4004
5.3382,2.6403,4.4004
5.3067,2.6403,4.4004
5.3185,2.6403,4.4004
5.3442,2.6403,4.4004
